phrase,class
four ticket jan 29,0
kid n ' t responsibility,3
nice seeing,4
eat lot,3
related south america,1
want buy five ticket antarctic base exhibition,0
good,4
new york state know ' m ' m second lieutenant air force,3
four ticket next month,0
see flooded forest 25 mar,2
interesting big bang work,1
thi n ' t know feel think maybe majority might sufficient,3
like rock,1
hello hi,4
probably cafeteria thought,3
monday,2
think forest fascinating,1
two ticket 16 may,0
know absolutely favorite show ?,3
want go mar 13 ticket day,0
probably outdoorsie stuff keeping trying keep away v guess mcdonald ' s,3
well ' m west texan,3
show exhibit organism,1
agree group ' m part go month call heritage house,3
exhibit architecture finish,2
six ticket exhibition sun,0
architecture fascinates,1
call boaz,4
name jenilyn,4
exhibition plant,1
like earth,1
seventh eighth grade started come around realize basically got interested math,3
want buy six ticket exhibition gravity,0
two ticket oct 17,0
love light,1
much two ticket museum cost ?,0
three ticket nov 28 please,0
moon passion mine exhibition caixa museum cover,1
get boring n ' t go ahead,3
like rock,1
apr 09,2
discussing organism one favourite thing,1
museum open wednesday,2
mean back show see show lost fat ?,3
ca n ' t say anything kind make noise,3
interesting physic work,1
two ticket tuesday please,0
show stuff photo,1
related education,1
one way,3
think matter fascinating,1
five ticket tuesday please,0
love think flooding,1
see geological wall 19 oct,2
three ticket nov 06,0
tell universe room exhibition,2
think light fascinating,1
exhibit south america finish,2
love think light,1
water fascinates,1
related planet,1
m - breeder money bree breed twice year,3
know higher echelon,3
would n ' t believe even raised chicken,3
see flooded forest 25 jan,2
love cosmos exhibition go,1
guess understand thing could,3
love think life,1
exhibition rock,2
like biodiversity,1
state income tax,3
new company came like said remodeled place,3
,4
four ticket 01 mar,0
two ticket jan 22 please,0
would like learn cosmos,1
exhibition photo,1
would like hear photo,1
parent kind thing,3
seen long time,4
' s ' s lot know last minute thing happen person,3
would like hear animal,1
must stronger heavier copper time,3
probably friend television ?,3
see antarctic base 30 dec,2
four ticket caixa museum please,0
show exhibit cosmos,1
like environment,1
ticket geological wall exhibition,0
ticket,0
exhibit technology finish,2
see geological wall friday,2
pretty impressed western auto n ' t great job changing transmission oil last time,3
see antarctic base oct 18,2
would like hear organism,1
museum open apr 01,2
love think gravity,1
see antarctic base saturday,2
interesting organism work,1
take kid along ?,3
see antarctic base friday,2
river passion mine exhibition caixa museum cover,1
right right well walking tour,3
tell universe room exhibition,2
interesting ecosystem work,1
show stuff earthquake,1
interested space,1
hello,4
love think jungle,1
see flooded forest monday,2
call shawn,4
five ticket caixa museum please,0
still benefited,3
see universe room sep 14,2
would like learn landscape,1
like ya doin '.,4
like said join navy see world type thing know,3
see sustainable building jan 25,2
know choose,1
five ticket thursday please,0
13 mar,2
see universe room next tuesday,2
' ve always gone u,3
well dental,3
kind cat ?,3
see flooded forest next weekend,2
plea bargain guilty know,3
related environment,1
would like get two ticket please,0
show stuff national geographic,1
show stuff amazon,1
want learn amazon exhibition recommend,1
rub siding,3
see sustainable building friday,2
interesting earth work,1
go fantastic,3
like sun,1
see geological wall 01 mar,2
want buy three ticket exhibition life,0
discussing planet one favourite thing,1
two ticket thursday please,0
ten,3
nice meet,4
think mother child lose think ' s many problem,3
show exhibit space,1
five ticket exhibition efficiency,0
planet interesting,1
see flooded forest 10 feb,2
trying try stay firm stay old age,3
see universe room 09 sep,2
four ticket sep 16,0
working ?,3
call sanjuana,4
ticket sunday,0
interesting sustainability work,1
related cosmos,1
like brain,1
interested erosion,1
n ' t kno idea,3
see sustainable building jun 09,2
think sun fascinating,1
love landscape exhibition go,1
especially around bonus time,3
think cosmos fascinating,1
four ticket jan 03,0
love think mar,1
nice meeting,4
would like go flooded forest exhibition wednesday,0
want buy book,3
two ticket friday please,0
name onika,4
related temperature,1
name casimiro,4
exhibition environment,2
well n ' t know know,3
think climate fascinating,1
thing,4
sure ' s ' s big responsibility really,3
right nobody,3
show exhibit architecture,1
want learn temperature exhibition recommend,1
see flooded forest 07 mar,2
show stuff building,1
want buy three ticket universe room exhibition,0
evolution fascinates,1
exhibition sun,2
want buy three ticket exhibition cosmos,0
see universe room 24 feb,2
want buy three ticket flooded forest exhibition,0
called casimiro,4
like constantly seemed like,3
would like learn universe,1
want buy ticket exhibition nature,0
discussing animal one favourite thing,1
interested climate,1
interested technology,1
30 sep,2
like space,1
visiting museum monday part museum see,2
matter fact ' m north carolina state,3
n ' t know get kind greeting,3
see antarctic base 12 dec,2
show stuff cosmos,1
want buy five ticket exhibition physic,0
interesting photo work,1
want buy one ticket antarctic base exhibition,0
one ticket exhibition education,0
would like go antarctic base exhibition tuesday,0
called sokhom,4
' s possible guess,3
crime brutal know useless may seem best way n ' t know,3
visiting museum sunday part museum see,2
someone stuc - held seven eleven think,3
three ticket geological wall exhibition,0
n ' t plan one either ever,3
know mean dallas supervisor four non exempts,3
interesting gravity work,1
oh agree,3
interested photographer,1
interested biodiversity,1
said probably friend television,3
like gravity,1
erosion passion mine exhibition caixa museum cover,1
well get get pressurized lumber,3
okay foreign country,3
well said w - happened lunch time,3
two ticket next weekend please,0
never mother used cook whole pan full squash would squash corn bread,3
biodiversity interesting,1
murphy brown designing woman mumblex,3
ask something ?,4
five ticket sunday please,0
16 may,2
discussing temperature one favourite thing,1
say n ' t money,3
exhibit big bang finish,2
love photo,1
name boaz,4
like discus efficiency,1
well peru ?,3
' s kind scary,3
six ticket nov 29 please,0
three ticket 09 may,0
interesting evolution created many specie,1
british french mostly decided carve part world call part persia,3
three ticket aug 31,0
think national geographic fascinating,1
would like go antarctic base exhibition 19 may,0
right let ' s put guess,3
one ticket 05 dec please,0
money ' s available,3
thursday,2
show exhibit efficiency,1
thing,4
biodiversity fascinates,1
visiting museum 03 jan part museum see,2
ticket 04 feb,0
ticket antarctic base exhibition,0
good luck one,3
would like learn photo,1
would like get six ticket,0
saudi border,3
surprised slapstick movie ' s really way comedy right,3
think animal fascinating,1
discussing matter one favourite thing,1
worked flooded forest exhibition,2
would like learn water,1
want buy ticket flooded forest exhibition,0
landscape interesting,1
ticket 20 nov please,0
see flooded forest next monday,2
' s ' ve seen ' ve seen probably,3
exhibition brain,2
see geological wall next weekend,2
interesting evolution work,1
would advise go flooded forest,1
need five ticket,0
show stuff forest,1
born denton raised lubbock,3
see antarctic base nov 19,2
environment interesting,1
see universe room dec 29,2
matter fascinates,1
love mar,1
would like learn earthquake,1
mean really sick use one,3
want buy ticket sustainable building exhibition,0
want buy six ticket exhibition sun,0
want buy ticket sustainable building exhibition,0
would like learn life,1
jul 18,2
love physic exhibition go,1
whip head,3
like national geographic,1
four ticket exhibition matter,0
came remodeled whole place,3
pu - wheeled cart,3
love think planet,1
show exhibit life,1
want buy ticket exhibition building,0
course ' ve looking since ' m yellow badger,3
know thought making good wage,3
six ticket,0
think mar fascinating,1
would like learn nature,1
visiting museum next month part museum see,2
want learn cosmos exhibition recommend,1
would like go sustainable building exhibition monday,0
n ' t child around ?,3
think gravity fascinating,1
three ticket next monday please,0
want buy two ticket universe room exhibition,0
really ' m kind open food ' m might call culinary adventurer,3
related moon,1
would like go sustainable building exhibition tomorrow,0
nice see,4
efficiency fascinates,1
want learn architecture exhibition recommend,1
love think education,1
called andreia,4
oh ' s ' s lure,3
love think earth,1
one ticket saturday,0
would would feel guilty,3
exhibition amazon,1
nice day,4
six ticket exhibition universe,0
interested exploration,1
really believe something like,3
discussing south america one favourite thing,1
strip oh four five six little roll coil line hand,3
want learn big bang exhibition recommend,1
called agnieszka,4
would reason would take advantage,3
universe interesting,1
greeting,4
see sustainable building next friday,2
able display,3
exhibition brazil,1
want buy ticket geological wall exhibition,0
' s right enough people want,3
discussing landscape one favourite thing,1
see sustainable building week,2
ticket 27 oct please,0
want learn climate exhibition recommend,1
see universe room next weekend,2
like cosmos,1
went one saying guilty innocent guilty innocent,3
see universe room 21 feb,2
want learn ecology exhibition recommend,1
would like two ticket,0
like also dog maybe need home wash,3
love biodiversity exhibition go,1
' s kind hard elderly person sometimes totally dependent,3
interested climate change,1
see sustainable building next week,2
,4
temperature interesting,1
one ticket caixa museum please,0
exhibition antarctic base,2
see universe room 15 sep,2
amazon fascinates,1
think ' s ' s ' s ' s taxpayer ' s money somebody,3
' ve got two older car one ' s seventy - seven one ' s seventy - eight,3
three ticket caixa museum please,0
exhibition universe,2
jungle interesting,1
li - phone long time ?,3
want send like know fifty cent day,3
one ticket next week,0
love mar exhibition go,1
ticket 07 nov,0
like discus moon,1
greet,4
exhibition earth,1
like climate,1
ya doin,4
good see,4
would like go antarctic base exhibition may 13,0
five ticket 13 sep please,0
' s taken part unknown,3
mar fascinates,1
see sustainable building month,2
want buy ticket exhibition environment,0
see sustainable building jan 05,2
see geological wall 01 aug,2
ticket antarctic base exhibition,0
two ticket thursday,0
exhibition rock,1
would like hear rock,1
one ticket next sunday please,0
two ticket exhibition amazon,0
five ticket dec 05 please,0
museum open 17 jun,2
exhibition education,1
help anything ?,4
may ask something ?,4
want buy two ticket exhibition space,0
show stuff rock,1
five ticket friday please,0
exhibition organism,1
would vote pro choice,3
visiting museum oct 13 part museum see,2
maybe would chicken something,3
like technology,1
five ticket jul 21,0
want learn national geographic exhibition recommend,1
know different thing restricted certain crime ?,3
like discus nature,1
show exhibit national geographic,1
cosmos fascinates,1
would like learn sun,1
three ticket dec 18 please,0
two ticket geological wall exhibition,0
interested flooding,1
museum open mar 29,2
jenilyn,4
show exhibit plant,1
exhibit earthquake finish,2
need help,4
think river fascinating,1
would like learn planet,1
n ' t know unless knew somewhere really mean really great,3
see sustainable building apr 12,2
mom dad curse,3
love building,1
interesting environment work,1
six ticket week please,0
' s true course requirement every single appeal must permitted,3
name dimitrios,4
see flooded forest thursday,2
show exhibit moon,1
going,4
ticket exhibition building,0
discussing amazon one favourite thing,1
exhibition environment,1
discussing cosmos one favourite thing,1
much five ticket museum cost ?,0
love physic,1
love space exhibition go,1
want buy six ticket exhibition landscape,0
interested life,1
discussing environment one favourite thing,1
ticket universe room exhibition,0
show stuff moon,1
want learn education exhibition recommend,1
show exhibit biodiversity,1
want learn efficiency exhibition recommend,1
way guess,3
would like hear brain,1
interested rock,1
well ' s ' s best system ' s best one world,3
would like learn architecture,1
purchase ticket next week,0
get ticket please,0
' s ' s little rough know quite sort thing,3
related universe,1
may see slapstick,3
see antarctic base sep 06,2
right n ' t care go place price,3
show stuff life,1
ticket friday please,0
want learn river exhibition recommend,1
see geological wall saturday,2
two ticket caixa museum please,0
want go next thursday ticket day,0
one ticket next saturday please,0
three ticket universe room exhibition,0
two ticket 06 jan,0
life passion mine exhibition caixa museum cover,1
need help,4
would like hear amazon,1
show exhibit climate change,1
visiting museum thursday part museum see,2
see antarctic base month,2
weekend,2
want buy ticket monday,0
worked wonderfully,3
morning,4
sun fascinates,1
want go museum ticket week ?,0
know five child total,3
see sustainable building weekend,2
would like hear rock,1
see universe room next week,2
love amazon exhibition go,1
top make child feel inferior,3
see universe room next thursday,2
' s sad life think today,3
love universe exhibition go,1
want buy two ticket exhibition landscape,0
work ?,4
exhibition rock,2
exhibition climate change,1
would like go flooded forest exhibition tuesday,0
tha - ' s illegal see company c e - s within private company would jail,3
call tyeshia,4
one ticket mar 12,0
ticket exhibition south america,0
everything going,4
two ticket nov 01,0
earth passion mine exhibition caixa museum cover,1
see universe room jan 01,2
would like learn climate,1
salute,4
science passion mine exhibition caixa museum cover,1
good night,4
visiting museum 20 nov part museum see,2
' ve got dollar cinema sherman usually see like first - rate movie,3
five ticket universe room exhibition,0
aug 31,2
discussing ecology one favourite thing,1
love think forest,1
one ticket sustainable building exhibition,0
would like learn efficiency,1
see flooded forest 14 apr,2
forest interesting,1
thing extra seems large extra n ' t exist,3
know florida,3
like discus evolution,1
one ticket sep 04 please,0
brazil fascinates,1
see universe room 24 jul,2
watched lot v war,3
show exhibit earth,1
call jacen,4
well thank much bye - bye,3
million year think,3
show exhibit photo,1
put nice fence still lot privacy grow lot food,3
related rock,1
exhibition universe,1
landscape passion mine exhibition caixa museum cover,1
well florida seems like two three time year ' s constantly,3
like discus science,1
earthquake fascinates,1
would like learn technology,1
five ticket weekend please,0
want buy two ticket exhibition sun,0
visiting museum tuesday part museum see,2
name coulter,4
would like learn ecology,1
like ecology,1
see sustainable building next sunday,2
think freedom choice,3
climate change fascinates,1
see flooded forest sunday,2
whatever n ' t want make read somewhere though ' s point guess,3
called isabela,4
g - freedom expression speech,3
museum open 09 dec,2
ticket wednesday please,0
want buy one ticket geological wall exhibition,0
time get incredibly hot,3
visiting museum monday part museum see,2
museum open 10 jan,2
exhibition building,1
want buy six ticket antarctic base exhibition,0
six ticket wednesday,0
oh would love one know,3
interesting south america work,1
know comedy like joke know gag stuff like,3
exhibit vulcanos finish,2
exhibition moon,1
one ticket please,0
interested cosmos,1
five ticket next wednesday,0
ticket monday please,0
would like learn building,1
exhibition efficiency,1
good day,4
ticket exhibition brain,0
like chinese eat,3
like discus sun,1
exhibition brain,1
see flooded forest 24 jan,2
would like go universe room exhibition tomorrow,0
three ticket please,0
discussing building one favourite thing,1
hope get something,3
related biodiversity,1
love climate change exhibition go,1
mean thing really gone sight last guess last ten year,3
would like go antarctic base exhibition month,0
first time really landscape house house like farm house ' s main road,3
want buy ticket exhibition education,0
want buy five ticket exhibition ecosystem,0
national geographic interesting,1
hellooo,4
two ticket 30 sep,0
want buy ticket sunday,0
tyeshia,4
four ticket next saturday,0
love ecology,1
love think photographer,1
ticket sustainable building exhibition,0
four ticket 24 jan,0
05 sep,2
exhibition big bang,2
exhibition temperature,1
biodiversity passion mine exhibition caixa museum cover,1
really help people think,3
see geological wall next wednesday,2
involving violent crime anything,3
discussing architecture one favourite thing,1
see sustainable building jan 13,2
would like learn light,1
andreia,4
see universe room saturday,2
like situation ' s usually real good,3
life interesting,1
see sustainable building wednesday,2
would like go sustainable building exhibition monday,0
like discus sustainability,1
15 jul,2
visiting museum 24 jul part museum see,2
would like buy ticket,0
physic fascinates,1
would like learn forest,1
visiting museum jan 30 part museum see,2
would like go universe room exhibition 16 jun,0
called heinz,4
call keitha,4
see sustainable building monday,2
space fascinates,1
love think south america,1
shall look,3
interesting universe work,1
see geological wall 06 jan,2
oh mean size wise big ?,3
like star,1
see flooded forest apr 08,2
crash,4
see universe room mar 05,2
whatever thing,3
would like learn exploration,1
physic interesting,1
gee know n ' t terrible,3
earth fascinates,1
lot kind worked way college mechanic kid,3
nature interesting,1
